HGNC_Symbol,log2R_CNA,Z_Score
RB1,0.865102,5.7
EPHB6,1.24593,7.57
SMARCB1,1.21136,101.57
MYT1L,-1.7316,0.78
EHMT2,1.28325,42.92
KEAP1,0.792937,40.26
JMJD1C,-0.565165,13.98
IKZF1,1.14128,0.01
ADARB1,0.234596,17.38
PPP2R1A,0.900378,135.94
CHEK2,1.21136,30.39
AKT2,0.948107,33.24
MYC,1.14976,80.55
AKT3,1.50648,21.72
MYB,0.104559,0.25
KDR,0.168475,0.22
FBXO4,0.093955,3.78
AKT1,1.18765,110.05
SOX9,0.470758,4.5
PIP4K2C,0.622955,28
HMCN1,1.54586,35.92
SKP2,0.093955,7.97
B2M,0.193889,743.61
TP63,0.0475908,0.15
EPHA5,0.168475,1.01
DAXX,1.28325,64.48
CIRBP,0.628806,296.88
HNF1A,-0.271952,0.05
HLA-A,1.28325,215.87
DICER1,0.407954,8.51
RUNX1,0.381539,4.69
TMEM82,0.710842,0
JMJD6,0.154018,27.85
BCR,1.21136,13.25
AR,0.188826,0
SCGB1C1,0.325283,0
KCNQ2,0.89788,0
DDIT4,-0.708799,35.84
BTK,0.210373,6.76
TP53,0.268779,19.34
EPHA3,1.15044,0.1
LLGL2,0.470758,1.05
EPHA10,0.710842,0.26
PDGFB,1.12243,0.1
PRDM14,1.21964,0
PDGFA,1.67365,0.11
GATA3,-0.625764,0
PIK3R1,0.0583524,3.42
GATA2,0.990764,0.55
GATA1,0.188826,0.03
GRIN2A,0.213058,0.19
NKAIN4,0.89788,6.47
BRIP1,0.470758,3.41
H3C2,1.37716,0.19
APOBEC3C,1.12243,21.49
WWTR1,1.13837,28.75
APOBEC3D,1.12243,2.11
FER1L5,0.282387,0.02
CREBBP,0.213058,6.06
APOBEC3F,1.12243,2.82
YES1,0.486991,11.61
APOBEC3G,1.12243,9.08
XRCC2,1.09306,3.54
XRCC3,1.18765,18.57
PLK1,0.213058,29.58
BRAF,1.24593,5.54
A1CF,-0.567315,0
SMARCA4,0.792937,110.47
H1-2,1.37716,16.75
CYLD,0.38797,4.18
STAG2,0.220027,21.39
AGO3,0.710842,3.81
AGO4,0.710842,7.6
AGO1,0.710842,7.56
ID2,0.105957,2.5
FUBP1,1.02046,47.21
ID1,1.09401,0.28
AGO2,0.881717,4.22
ID3,0.710842,0.67
ATM,-1.59234,7.02
CDK12,0.298266,10.48
FAT4,0.149478,0.01
EZH1,0.401135,11.81
APOBEC3A,1.12243,0.06
BAP1,0.804344,78.05
TP73,0.557057,0.03
EZH2,1.09306,23.94
ATR,1.13837,13.77
RET,-0.383653,0.04
COL18A1,0.234596,11.35
SETD2,0.804344,11.04
CDKN1B,0.694378,11.51
SETD7,0.149478,3.57
CTCF,0.387323,19.67
BRCA1,0.401135,13.62
BRCA2,0.837804,3.74
GLI1,0.622955,0.05
PHF6,0.220027,5.61
GLI3,1.18764,5.99
GLI2,0.20016,0.15
MED12,0.188826,14.91
HEY1,1.21964,20.34
HEY2,0.104559,3.63
CIC,0.948107,36.34
JAK2,-0.544514,5.1
JAK3,0.792937,0.87
HRAS,0.325283,52.15
TEAD1,0.591794,9.86
TEAD2,0.900378,28.4
H3-3A,-1.71055,133.18
CCR2,0.804344,0
JAK1,0.909325,18.24
APOBEC1,0.541972,0
TEAD4,0.541972,11.79
PRMT6,0.920601,10.87
PRMT5,0.566246,53.64
PBRM1,0.804344,18.41
APOBEC2,1.28325,0.12
PRMT2,0.234596,54.67
PRMT1,0.900378,185.54
APOBEC4,1.54586,0
HSBP1,-0.20004,66.36
NCOA3,1.09401,4.8
GPR32,0.900378,0
PRMT3,0.591794,13.22
MST1,0.804344,17.6
TET2,0.0678348,1.3
PAX5,1.12442,0
ASH1L,0.834736,3.67
RAD51B,0.502924,5.37
MED23,0.104559,8.9
ITPKB,-1.71055,6.9
RAD51D,0.298266,3.18
RAD51C,0.470758,42.59
NCOR1,0.429678,29.41
KIT,0.601939,0.46
DDR2,1.49012,9.16
AMER1,0.188826,0
YAP1,-1.59234,6.25
SLC66A1,0.710842,21.57
DOT1L,0.628806,8.67
CXCR4,0.203242,1.26
EGFR,1.26637,0.24
RAD54B,1.21964,4.68
NSD3,0.0198947,10.38
NRAS,0.920601,26.4
NSD1,-0.148375,8.05
HSF2,0.104559,11.37
HSF1,0.881717,57.79
NSD2,1.1559,16.43
SPOP,0.470758,8.63
HSF4,0.387323,72.46
PMS2,1.90658,18.25
RAD54L,0.909325,12.93
CSMD3,1.21964,0.81
BID,1.41357,39.26
PAK3,0.220027,0.84
SF3B1,0.214841,184.51
PMS1,0.285534,6.37
NPM1,0.0572956,1712.33
CDKN2C,0.909325,2.82
MAP3K1,0.093955,6.13
CDKN2A,-0.544514,3.72
H2BC4,1.37716,4.72
SAAL1,0.591794,26.96
WNT7A,0.825143,0
MLH1,0.906215,20.33
TARBP2,0.622955,71.6
DSPP,0.157312,0
KLHL6,0.0475908,1.72
WT1,0.591794,0
TTC5,0.566246,6.28
NEK10,0.988249,0.35
CTNNB1,0.906215,276.85
CRLF2,0.123676,0
FOXA1,0.627096,0.12
PRDM9,0.261954,0.16
KDM1A,0.710842,143.21
KDM1B,1.36207,9.65
ATN1,0.541972,45.99
MPL,0.909325,0
PRDM2,0.710842,9.61
PRDM1,0.0788569,0.16
IGF1R,0.198932,6.76
STK11,0.628806,19.21
CCND1,0.316895,30.01
CDH1,0.387323,25.5
HCFC1R1,0.213058,43.59
EP300,1.12243,8.09
ARID2,0.622955,6.62
ROS1,0.0788569,0.01
MEN1,0.396886,17.8
LMO1,0.465048,0.39
PDGFRB,0.0670603,0.18
RNF43,0.470758,7.65
MAP2K4,0.429678,9.22
PDGFRA,0.142152,0.2
MAP2K1,0.100624,16.4
KDM2A,0.316895,25
MAP2K2,0.628806,102.07
KDM2B,-0.271952,13.68
FBXW7,0.149478,4.14
HGF,1.34986,0
TSC1,-0.434289,5.88
TLE6,0.628806,2.2
MSH6,0.183913,24.26
GPRIN2,-0.523871,0.02
MYCL,0.710842,0.37
MYCN,0.193166,0.11
MSH2,0.183913,18.59
SMO,1.1879,9.99
CCNE1,1.09217,15.61
TBL1XR1,0.0475908,14.21
SRSF2,0.154018,188.33
PGR,-1.59234,0
ROR2,-0.0429875,0.02
RAD54L2,0.804344,6.65
RAF1,0.825143,47.89
PPEF1,0.188826,1.19
CARD11,1.67365,0
NOTCH2,0.920601,8.5
INO80C,0.649357,16.25
KMT2D,0.622955,15.55
CSF1R,0.0670603,0.07
NOTCH3,0.792937,0.76
DNMT1,0.792937,66.29
NOTCH1,-0.434289,3.95
CBFB,0.387323,20.48
KMT2C,1.09306,7.13
NOTCH4,1.28325,5.65
ZFP36L1,0.502924,20.83
STK3,1.21964,10.52
UBC,-0.20216,491.52
ABL1,-0.434289,7.9
SMYD3,1.48979,27.23
SLC38A3,0.804344,0.24
SMAD2,0.544653,25.78
SMAD4,0.544653,14.81
MUC16,0.792937,0.01
MUC17,1.14737,0
IDH1,0.189952,138.66
PTCH1,-0.0429875,1.58
IDH2,0.18522,34.24
INHBA,1.18764,0.06
ESR1,0.104559,0.33
PALB2,0.213058,18.02
AICDA,0.555311,0.03
LRP1B,0.25477,0
PTPRD,-0.544514,0.23
AFDN,1.37777,35.21
CDK6,1.24311,14.34
LRFN4,0.316895,5.77
FES,0.18522,11.69
CDK4,0.622955,234.3
GNAQ,0.096528,8.76
GNAS,1.09401,660.15
NF1,0.429678,9.51
MDM2,1.09358,75.72
BCL2,0.562415,5.84
MDM4,1.4076,34.5
NF2,1.21136,12.19
FGFR4,-0.148375,5.54
FGFR3,1.1559,0.45
MYD88,0.906215,15.58
FGFR2,-0.61733,1.65
NFE2L2,0.166021,34.64
FGFR1,0.0198947,0.82
KDM5A,0.541972,19.18
ALK,0.138863,1.03
PIWIL1,-0.271675,0
KDM5B,1.4076,42.85
KDM5C,0.188826,33.04
ZMYND19,-0.434289,23.19
FLT3,0.837804,0
RASGRF2,0.0688675,0.68
PTEN,-0.480298,12.82
TNFAIP3,0.104559,5.14
ADAR,1.41718,56.16
CDC73,-1.5718,2.32
AFF2,0.220027,0.53
RPGR,0.188826,12.64
POLB,0.0198947,30.3
FAM166A,-0.434289,0.07
CASP8,0.180831,9.83
DNMT3B,1.09401,2.97
POLI,0.515253,10.7
KDM6A,0.188826,15.09
KDM6B,0.268779,4.15
HSP90AA1,1.18444,992.13
TBP,1.34261,21.02
ATRX,0.188826,8.12
DNMT3A,0.138863,15
AXIN1,-0.0429098,14.34
HAUS5,0.948107,25.28
ARID1A,0.710842,14.42
ARID1B,0.00981951,10.7
ETV6,0.694378,17.39
TGFBR2,0.988249,3.05
LATS1,0.104559,2.2
TRAF7,0.213058,30.76
LATS2,0.993005,2.12
DALRD3,0.804344,41.04
SETBP1,0.544653,0.49
PIK3CA,0.0475908,4.44
RASA3,0.816878,18.49
SOS1,0.183913,3.94
MET,1.27711,24.01
PRKAA1,0.093955,7.25
KDM3A,0.333006,43.04
LTK,0.193889,1.56
PRKAA2,0.909325,0.49
KDM3B,0.0688675,18.07
SRC,1.09401,22.16
ATP10B,0.0572956,3.13
U2AF1,0.244635,42.46
CBL,-1.92439,1.33
ACVR1B,0.622955,5.68
AURKC,0.958961,1.96
AURKB,0.268779,67.66
AURKA,1.09401,32.99
TTN,0.166021,0.05
MAPK9,-0.148375,6.09
MAPK8,-0.523871,3.86
ERBB3,0.622955,241.59
ERBB4,0.189952,0.02
GNA11,0.628806,15.91
ERBB2,0.298266,9.66
PTK2B,0.0198947,1.41
DROSHA,0.093955,95.43
HES1,1.0445,12.5
VHL,0.825143,8.44
MUC4,1.0445,0.01
NTRK1,0.834736,5.48
TCF7L2,-0.615644,3.77
KDM4A,0.909325,15.74
NTRK2,0.096528,0.19
KDM4B,0.628806,9.35
KDM4C,-0.544514,4.55
KDM4D,-1.59234,0.54
PRRX1,1.53256,0.15
NTRK3,0.18522,0.01
PTPN11,0.887057,32.13
LYSMD3,0.0688675,2.83
KLF4,0.101812,4.53
MUC5B,0.325283,0.03
USH2A,1.60493,0.03
TSHR,0.622785,0.1
MTOR,0.710842,38.09
TBX3,0.887057,11.49
RAD52,0.541972,3.35
ASXL1,1.09401,44.53
RAD50,0.0688675,11.25
