HGNC_Symbol,log2R_CNA,Z_Score
SNORD121B,2,-0.0101
HTR4,2,-0.0105
SNORD121A,2,-0.0094
HTR6,2,-0.0103
HTR7,2,-0.0085
RNU6-654P,2,-0.0105
RN7SL563P,8,-0.0077
ARL14EPP1,3,-0.0098
EXOC3-AS1,2,-0.0090
DHDH,3,-0.0099
AL356495.1,4,-0.0104
RNU6-653P,1,-0.0105
COL13A1,2,-0.0095
AC077690.1,3,-0.0104
BNC2-AS1,2,-0.0075
SNORA63B,3,-0.0105
SNORA63C,2,-0.0086
RNU6-656P,8,-0.0105
SNORA63D,3,0.0021
RN7SL561P,3,-0.0103
SNORA63E,3,-0.0105
AC097499.2,3,-0.0105
DHFR,2,-0.0041
AC007066.1,2,-0.0097
AC007066.2,2,-0.0100
DCLRE1CP1,2,-0.0105
AC097499.1,3,-0.0105
RNU6-655P,3,-0.0105
RN7SL560P,2,-0.0105
AL390037.1,3,-0.0096
RNU6-650P,7,-0.0105
MYBPC3,2,-0.0104
MYBPC1,2,-0.0104
MYBPC2,3,-0.0104
AL158032.2,4,-0.0105
AL158032.1,4,-0.0105
AC091965.1,2,-0.0098
TMEFF1,2,-0.0104
AC091965.2,2,-0.0103
TRDD2,2,-0.0105
TMEFF2,4,-0.0104
TRDD3,2,-0.0105
AC091965.3,2,-0.0099
TRDD1,2,-0.0105
AC091965.4,2,-0.0101
AC091965.5,2,-0.0075
VCAN-AS1,2,-0.0105
RPS7P11,4,-0.0091
AL353613.1,2,-0.0105
RPS7P12,2,-0.0105
RPS7P10,4,-0.0085
AL080315.1,1,-0.0105
AC064836.1,4,-0.0105
AC064836.2,4,-0.0088
AC064836.3,4,-0.0081
BORCS7-ASMT,2,-0.0105
RPS7P15,3,-0.0092
RPS7P13,2,-0.0105
AL024509.1,4,-0.0105
RNU6-652P,3,-0.0074
RPS7P14,2,-0.0101
AL024509.2,4,-0.0105
MBD3,2,-0.0054
MBD4,3,0.0010
MBD5,3,-0.0080
MBD6,2,-0.0067
MBD1,3,0.0059
MBD2,3,-0.0032
AC006237.1,2,-0.0105
RNU6-651P,4,-0.0105
AC006967.1,7,-0.0105
AC006967.2,7,-0.0105
AC006967.3,7,-0.0105
RNF14P1,3,-0.0101
RNF14P2,3,-0.0105
FBXO27,3,-0.0102
FBXO28,4,0.0165
FBXO25,3,-0.0052
FBXO24,7,-0.0100
AC236972.3,2,-0.0105
