HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,-0.104354,20.86
RB1,-2.23866,9.3
SMARCB1,-0.246011,62.36
MYT1L,-0.0801473,0.24
EHMT2,-0.159763,14.57
JMJD1C,-0.185634,14.64
KEAP1,-0.223072,26.15
ADARB1,-1.02323,9.01
IKZF1,1.40113,0.02
PPP2R1A,-0.198483,97.18
AKT2,-0.198483,73.73
MYC,1.40192,70.43
CHEK2,-0.246011,10.73
AKT3,0.363909,0.87
MYB,-0.114608,0.12
KDR,-0.0575884,0
FBXO4,-0.976988,2.25
AKT1,0.302023,76.05
HMCN1,0.402025,11.19
PIP4K2C,-0.0370739,34.95
SOX9,-0.128933,17.26
SKP2,-0.749183,7.38
B2M,-0.73201,1448.85
TP63,0.778417,189.07
EPHA5,-0.0575884,0
DAXX,-0.156513,31.15
CIRBP,-0.223072,145.78
DICER1,0.390328,15.78
HLA-A,-0.159763,305.64
HNF1A,-0.181662,0.06
RUNX1,-0.765352,9.94
TMEM82,-0.110338,0
JMJD6,-0.128933,16.61
BCR,-0.246011,39.7
AR,0.0800001,0
SCGB1C1,-0.970319,0
KCNQ2,-0.344737,0
DDIT4,-0.185634,264.25
BTK,0.0161543,0.12
TP53,-0.259996,4.99
EPHA3,0.319945,0.03
LLGL2,-0.128933,17.21
EPHA10,-0.0780894,0.6
PDGFB,-0.246011,14.1
PDGFA,1.03132,41.53
PRDM14,1.40183,0
GATA3,-0.0425296,10.88
PIK3R1,-1.03203,3.9
GATA2,-0.143973,0.05
GATA1,0.0800001,0
BRIP1,-0.0525708,2.18
GRIN2A,-0.0859558,0.1
NKAIN4,-0.344737,0.18
H3C2,-0.0983255,0
APOBEC3C,-0.246011,15.29
APOBEC3D,-0.246011,0.79
WWTR1,0.854533,30.49
CREBBP,-0.280815,23.92
FER1L5,0.028303,0.01
YES1,-0.0991439,33.86
APOBEC3F,-0.246011,2.22
APOBEC3G,-0.246011,2.87
XRCC2,-0.208092,2.54
PLK1,-0.0953918,25.12
XRCC3,0.302023,17.73
BRAF,-0.104354,7.37
A1CF,-0.185634,0
H1-2,-0.0983255,2.61
SMARCA4,-0.223072,46.88
CYLD,-0.0523039,11.59
STAG2,0.0483099,22.14
AGO3,-0.0780894,3.76
AGO4,-0.0780894,10.3
ID2,-0.120207,8.22
FUBP1,0.0926078,47.42
AGO1,-0.0780894,5.13
ID1,-0.173049,21.88
AGO2,1.40192,25.53
ID3,-0.110338,12.09
ATM,-0.103292,10.85
FAT4,-0.0318614,0.07
CDK12,-0.133148,21.48
BAP1,-2.82025,25.35
EZH1,-0.133148,15.56
APOBEC3A,-0.246011,1.55
ATR,-0.143973,7.29
EZH2,-0.208092,11.12
TP73,-0.110338,13.09
RET,0.152035,2.4
COL18A1,-0.924341,66.12
SETD2,-2.82025,8.44
CDKN1B,-0.0370739,6.97
SETD7,-0.0318614,9.38
