HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,0.705494,9.65
RB1,-0.0301767,2.41
SMARCB1,-0.100848,39.5
MYT1L,-0.0463896,0.46
EHMT2,-0.0214355,31.42
KEAP1,-0.283495,63.1
JMJD1C,-1.56001,9.68
IKZF1,-0.0261747,0.28
ADARB1,-0.296829,0.8
PPP2R1A,-0.196819,145.89
MYC,-0.0142032,24.08
CHEK2,-0.163554,6.09
AKT2,-0.196819,67.4
AKT3,-0.03863,15.82
MYB,-1.57181,0.62
KDR,0.00445454,0.03
FBXO4,0.0062114,23.65
AKT1,-0.152981,48.44
SOX9,-0.038694,86.33
PIP4K2C,-0.0547089,9.98
HMCN1,0.725958,2.71
SKP2,-0.00501092,32.58
B2M,-1.51686,2030.39
TP63,-0.0100578,0.29
EPHA5,0.00445454,0.99
DAXX,-0.0628135,54.49
CIRBP,-0.580825,329.91
HLA-A,-0.0214355,692.69
HNF1A,-0.126458,0.07
DICER1,-0.152981,10.37
JMJD6,-0.331499,26.33
TMEM82,-0.152863,0
RUNX1,-0.126493,15.58
BCR,-0.100848,9.91
AR,-0.131554,6.23
SCGB1C1,-1.5554,0
DDIT4,-1.50771,78.78
KCNQ2,-0.288347,9.2
BTK,-0.15043,0.16
TP53,-0.114992,50.42
EPHA3,-0.0181516,3.74
LLGL2,-0.226967,0.51
EPHA10,-0.144526,0.32
PDGFB,-0.163554,0.03
PDGFA,-0.272945,1.51
PRDM14,-0.0417815,0
PIK3R1,-0.0407037,18.46
GATA3,-1.5413,5.47
GATA2,-0.0419426,0.08
GATA1,-0.131554,0.08
NKAIN4,-0.288347,0.07
BRIP1,-0.038694,4.65
GRIN2A,-0.225484,1.49
H3C2,-0.0214355,1.13
APOBEC3C,-0.163554,13.42
WWTR1,-0.0419426,57.65
APOBEC3D,-0.163554,2.13
CREBBP,-0.390509,13.81
FER1L5,-0.0348185,0.37
YES1,-0.0894354,13.51
APOBEC3F,-0.163554,3.8
APOBEC3G,-0.163554,10.85
XRCC2,0.705494,8.88
XRCC3,-0.152981,9.4
PLK1,-0.169696,24.17
BRAF,0.768673,9.26
A1CF,-1.50993,0.04
SMARCA4,-0.283495,71.51
H1-2,-0.0214355,15.61
CYLD,-0.569842,16.57
STAG2,-0.141468,46.46
AGO3,-0.144526,3.68
AGO4,-0.144526,6.46
FUBP1,-0.0163981,74.49
ID2,-0.0463896,115.5
AGO1,-0.144526,7.78
AGO2,-0.162599,8.09
ID1,-0.0849768,2.55
ID3,-0.152863,46.97
ATM,-1.57631,8.82
CDK12,-0.117993,15.52
FAT4,-0.015745,1.01
BAP1,-0.090036,84.16
APOBEC3A,-0.163554,0.35
EZH1,-0.117993,24.23
TP73,-0.265577,2.02
ATR,-0.0419426,12.87
EZH2,0.705494,43.69
RET,-1.50993,0.15
COL18A1,-0.296829,14.62
SETD2,-0.110331,25.14
CDKN1B,-1.51228,21.46
SETD7,-0.015745,12.12
BRCA1,-0.117993,20.27
CTCF,-0.521939,16.82
BRCA2,-0.0345221,1.89
GLI1,-0.0547089,0.58
PHF6,-0.141468,16.95
GLI3,-0.0261747,11.64
GLI2,-0.0309104,4.69
MED12,-0.131554,14.37
HEY1,-0.0417815,40.71
HEY2,-1.57181,3.2
CIC,-0.196819,35.97
JAK2,-1.56176,1.56
TEAD1,-1.48732,21
HRAS,-1.5554,37.13
JAK3,-0.283495,0.71
H3-3A,-0.03863,545.75
TEAD2,-0.196819,31.3
JAK1,-0.0163981,22.52
CCR2,-0.110331,0
TEAD4,-1.51228,2.47
APOBEC1,-1.51228,0
PRMT6,-1.52355,8.94
PRMT5,-0.052978,43.5
PBRM1,-0.090036,21.21
APOBEC2,-0.0628135,0.11
PRMT2,-0.296829,98.36
HSBP1,-0.69171,111.72
PRMT1,-0.196819,101.89
APOBEC4,0.674214,0.01
NCOA3,-0.0849768,2.43
GPR32,-0.196819,0
MST1,-0.090036,23.93
PRMT3,-1.39172,18.8
TET2,-0.0196952,2.65
ASH1L,0.674214,9.47
PAX5,-0.141338,0.01
ITPKB,-0.03863,10.88
RAD51B,-0.0551889,5.86
MED23,-1.57181,11.6
RAD51D,-0.117993,11.91
NCOR1,-0.114992,35.84
RAD51C,-0.038694,36.26
KIT,0.00445454,0.17
DDR2,0.674214,13.17
YAP1,2.03046,24.36
AMER1,-0.131554,1.1
SLC66A1,-0.152863,16.27
DOT1L,-0.467172,11.91
CXCR4,-0.0474575,101.37
EGFR,-0.0261747,14.18
RAD54B,-0.0417815,10.91
NSD3,0.00243341,23.19
NRAS,-1.52355,27.51
NSD1,-0.0407037,9.43
HSF2,-1.57181,16.08
NSD2,-1.58397,30
HSF1,-0.162599,36.89
HSF4,-0.521939,67.12
SPOP,-0.117993,101.92
PMS2,-0.110287,16.29
RAD54L,-0.0460774,13.71
CSMD3,-0.0142032,0.03
PAK3,-0.15043,0.88
BID,0.0911934,11.55
