HGNC_Symbol,log2R_CNA,Z_Score
HTR4,-0.001192982,-1.0752
CRHBP,-0.001192982,-0.7807
HTR6,-0.029629178,-1.0714
HTR7,-0.003439569,0.3054
LURAP1L,-0.289421978,-0.3868
BBX,-0.002420883,0.8867
GSTK1,0.467851487,2.0111
WDR83OS,-0.022754255,1.8925
DHDH,-0.022754255,-0.8649
INSYN1,-0.009404779,-1.0523
BCR,0.015138497,0.3590
ORAI3,-0.015977167,-0.1153
AGTR1,-0.002420883,-1.0752
ORAI2,0.467851487,0.4928
ORAI1,0.01591365,0.4775
VOPP1,-0.008311438,1.0932
AGTR2,-0.018080163,-1.0752
HOATZ,-0.230769294,-1.0752
COL13A1,-0.00596521,-0.1650
SHMT2,0.01591365,1.8658
SHMT1,-0.005189155,1.2042
B3GLCT,0.003087966,0.0339
RDH12,-0.006577204,-1.0714
RDH11,-0.006577204,1.6593
RDH10,0.184578047,0.0759
RDH16,0.01591365,-1.0446
RDH14,0.181430778,0.8064
RDH13,-0.022754255,0.2710
GTF2IRD2B,0.321760125,0.8064
GSTM4,-0.000873589,0.9288
GSTM3,-0.000873589,1.3418
GSTM1,-0.000873589,1.0168
NEBL,-0.298266841,-1.0178
DHFR,-0.001192982,1.2271
PKIB,0.015404608,-0.2988
DELEC1,-0.015037652,NA
STRC,-0.009404779,-0.9260
PKIA,0.184578047,-0.9375
STRN,-0.001315802,0.0339
L1TD1,-0.000873589,-1.0752
PKIG,0.004523578,1.1889
GSTM5,-0.000873589,-1.0484
GTF2H2C,-0.001192982,0.2175
KCNC1,0.003250221,-0.8840
KCNC2,0.01591365,-1.0446
KCNC3,-0.022754255,-0.1918
KCNC4,-0.000873589,-0.0158
BBC3,-0.022754255,0.4852
NPAP1,-0.009404779,-1.0752
GLT1D1,0.01591365,-1.0714
NEFL,-0.283697291,-1.0637
NEFM,-0.283697291,-1.0752
NEFH,0.015138497,-1.0599
STUM,0.00250186,-1.0637
MYBPC3,0.003250221,-1.0752
MYBPC1,0.01591365,-0.7042
KCND1,-0.018080163,-0.8075
MYBPC2,-0.022754255,-1.0484
GSTO2,-0.003439569,-0.9949
KCND2,0.467851487,-1.0752
GSTO1,-0.003439569,2.1985
KCND3,-0.000873589,-1.0714
BGN,-0.018080163,-0.8037
TMEFF1,-0.015037652,-1.0293
TMEFF2,-0.001315802,-1.0752
PKN3,-0.015037652,-0.7616
KCNA1,0.01591365,-1.0752
SYNPO2,0.004280647,-0.9834
GSTP1,0.003250221,2.6192
PTAFR,-0.000873589,-1.0064
KCNA2,-0.000873589,-1.0523
KCNA3,-0.000873589,-1.0752
ADAM22,0.321760125,-0.4977
