HGNC_Symbol,log2R_CNA,Z_Score
SNORD121B,4,-0.0109
HTR4,2,-0.0108
SNORD121A,4,-0.0102
HTR6,4,-0.0108
HTR7,2,0.0095
RNU6-654P,4,-0.0109
RN7SL563P,6,0.0120
ARL14EPP1,6,-0.0107
EXOC3-AS1,4,-0.0041
DHDH,4,-0.0105
AL356495.1,4,-0.0109
RNU6-653P,2,-0.0109
COL13A1,2,0.0012
AC077690.1,4,-0.0108
BNC2-AS1,4,-0.0087
SNORA63B,4,-0.0109
RNU6-656P,4,-0.0109
SNORA63C,4,-0.0078
SNORA63D,4,-0.0063
RN7SL561P,4,-0.0107
SNORA63E,4,-0.0109
AC097499.2,4,-0.0109
DHFR,4,-0.0024
AC007066.1,4,-0.0102
AC007066.2,4,-0.0105
DCLRE1CP1,4,-0.0109
AC097499.1,4,-0.0109
RNU6-655P,4,-0.0109
RN7SL560P,4,-0.0109
AL390037.1,4,-0.0109
RNU6-650P,6,-0.0106
MYBPC3,4,-0.0108
MYBPC1,4,-0.0108
MYBPC2,4,-0.0089
AL158032.2,4,-0.0109
AL158032.1,4,-0.0109
AC091965.1,4,-0.0107
TMEFF1,4,-0.0108
AC091965.2,4,-0.0108
TMEFF2,4,-0.0108
TRDD2,4,-0.0109
TRDD3,4,-0.0109
AC091965.3,4,-0.0106
TRDD1,4,-0.0109
AC091965.4,4,-0.0108
AC091965.5,4,-0.0092
VCAN-AS1,4,-0.0107
RPS7P11,4,-0.0079
RPS7P12,2,-0.0109
AL353613.1,4,-0.0108
RPS7P10,4,-0.0079
AL080315.1,2,-0.0109
AC064836.1,4,-0.0108
AC064836.2,4,-0.0092
AC064836.3,4,-0.0103
BORCS7-ASMT,2,-0.0109
RPS7P15,4,-0.0105
AL024509.1,4,-0.0109
RPS7P13,2,-0.0109
RNU6-652P,4,-0.0091
RPS7P14,2,-0.0108
AL024509.2,4,-0.0109
MBD3,4,0.0037
MBD4,4,0.0105
MBD5,4,-0.0093
MBD6,4,-0.0089
MBD1,4,0.0139
MBD2,4,0.0075
AC006237.1,4,-0.0108
RNU6-651P,4,-0.0109
AC006967.1,6,-0.0109
AC006967.2,6,-0.0109
AC006967.3,6,-0.0109
RNF14P1,4,-0.0104
RNF14P2,4,-0.0109
FBXO27,4,-0.0107
FBXO28,4,0.0087
FBXO25,4,-0.0067
FBXO24,6,-0.0106
AC104257.1,6,-0.0109
MCHR2-AS1,2,-0.0109
AC236972.3,2,-0.0109
FBXO21,4,0.0045
FBXO22,4,-0.0000
AC236972.4,2,-0.0109
AC236972.1,2,-0.0109
AC236972.2,2,-0.0109
CLDN7P1,2,-0.0109
IGHD2OR15-2B,5,-0.0109
MYBPHL,4,-0.0107
IGHD2OR15-2A,4,-0.0109
RNF14P3,6,-0.0106
RNF14P4,6,-0.0108
AC011530.1,4,-0.0109
AC044839.2,4,-0.0109
AC044839.3,4,-0.0105
AC073592.10,4,-0.0109
FBXO16,4,-0.0094
AC044839.1,4,-0.0109
FBXO17,4,-0.0108
FBXO15,4,-0.0102
FBXO10,4,-0.0095
FBXO11,4,-0.0011
AC092794.1,4,-0.0104
AC092794.2,4,-0.0109
MINPP1,2,-0.0040
Z97192.1,4,-0.0105
Z97192.2,4,-0.0107
Z97192.3,4,-0.0104
FBXO47,4,-0.0108
FBXO48,4,-0.0103
FBXO45,4,-0.0024
FBXO46,4,-0.0032
Z97192.4,NA,-0.0107
FBXO43,6,-0.0106
FBXO44,4,0.0013
FBXO41,4,-0.0070
FBXO42,4,-0.0015
GRAMD4P3,4,-0.0107
GRAMD4P4,4,-0.0109
FBXO40,4,-0.0108
GRAMD4P1,4,-0.0109
GRAMD4P2,4,-0.0108
GRAMD4P7,4,-0.0107
GRAMD4P8,4,-0.0108
GRAMD4P5,5,-0.0109
GRAMD4P6,5,-0.0109
MBIP,4,-0.0026
AC040963.1,4,-0.0108
Z73965.1,2,-0.0105
AC007160.1,4,-0.0109
HTR1E,2,-0.0109
AC138832.1,4,-0.0102
AC073636.1,4,-0.0109
HTR1F,4,-0.0108
FBXO38,2,-0.0010
HTR1D,4,-0.0108
FBXO39,4,-0.0082
FBXO36,4,-0.0076
